DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2016/12/18,11,26,40,13,5,45,55,28
2016/12/19,18,45,57,36,21,100,90,82
2016/12/20,6,54,59,30,17,144,75,45
2016/12/21,11,77,64,48,27,164,113,62
2016/12/22,8,53,46,34,18,132,81,35
2016/12/23,6,53,41,31,17,100,86,36
2016/12/24,2,46,37,13,11,70,55,18
2016/12/25,1,43,53,17,10,51,51,17
2016/12/26,3,49,51,26,9,60,77,31
2016/12/27,6,61,52,42,18,93,82,45
2016/12/28,8,65,51,52,15,152,101,50
2016/12/29,9,63,47,46,12,132,111,47
2016/12/30,15,41,53,33,16,106,70,49
2016/12/31,5,26,29,13,6,58,34,22
2017/01/01,6,34,41,14,18,60,39,27
2017/01/02,9,44,54,24,16,78,81,36
2017/01/03,13,54,60,32,23,125,79,59
2017/01/04,13,78,90,53,26,171,130,71
2017/01/05,15,71,71,47,27,116,94,67
2017/01/06,25,50,60,38,22,108,86,48
2017/01/07,4,33,35,20,6,42,23,13
2017/01/08,10,61,49,25,5,53,53,21
2017/01/09,3,83,75,32,32,107,95,66
